CONVERSATION_ID,primary_issue_category,primary_failure_signal,secondary_issue_category,secondary_failure_signal,Priority
24d91a9c-8bd6-4083-a268-8dba6c0b328a,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
b55b4141-042f-4640-a5cf-e9b976f5acbb,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
c312d46c-bcd9-4158-afee-69be6c20af69,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
7ca8ea15-5798-4a03-a844-eb25f7353050,NLU (Understanding) Failures,Keyword mismatch,null,null,Unwanted Friction
1159d4fa-1481-41a9-aa07-d0ae0c16b1df,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
711eac4a-43cf-4646-b3e8-4ad17c89847f,Conversation-Level Red Flags,Conversation ends without resolution,NLU (Understanding) Failures,Repeated clarification prompts,Critical blocker
a9db08a6-8034-4cd1-8dac-ac65513a809f,Conversation-Level Red Flags,Escalation after success,null,null,Minor 
dc4c5809-eb71-45d9-ac1f-8ea80fddcee2,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
f7787250-f202-43cd-80fd-c2412cdd8a08,NLU (Understanding) Failures,Repeated clarification prompts,Conversation-Level Red Flags,User repeats themselves multiple times,Unwanted Friction
fb60cfa8-2b99-4b14-95be-9e8fe7b600a4,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
652518dd-d06a-4d58-9571-e2754e5bbaf3,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
e9884ce1-807a-496f-ad78-7d9a78d787fb,Conversation-Level Red Flags,Escalation after success,null,null,Minor 
cfc638cf-3dea-4cda-ac56-3395560290b4,Conversation-Level Red Flags,Conversation ends without resolution,null,null,Unwanted Friction
bbab2d61-4b37-44ee-8b13-97ae2eaccaab,Coverage Gaps,Unsupported appointment type,null,null,Unwanted Friction
b2d9b2cc-3470-4594-a765-3590070ce7f3,Conversation-Level Red Flags,Escalation after success,null,null,Minor 
7e239203-8bb6-4c7e-a82a-8df5e426b569,NLU (Understanding) Failures,Repeated clarification prompts,null,null,Unwanted Friction
f88e73e0-0310-4ef1-be33-c8144f643584,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
c234c76e-810f-4023-b896-2a77c35abc51,Conversation-Level Red Flags,Bot repeats phrases word-for-word,UX / Flow Failures,Abrupt escalation,Unwanted Friction
e8dae519-3247-4028-b8d6-f472a40c9683,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
0be60474-72d9-40e2-9165-2b0d6b57135b,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
851b56f4-1011-4be1-965d-5ddf2107d724,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
475937e4-7d24-439c-9fda-6c39239b514f,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
46f4cb76-430a-42cd-8428-dfed9a11effd,NLU (Understanding) Failures,Complex phrasing ignored,UX / Flow Failures,Abrupt escalation,Unwanted Friction
c9a2ddc6-d015-4dda-8a8f-e4971f66f6fd,NLU (Understanding) Failures,Complex phrasing ignored,null,null,Unwanted Friction
aef6ccd6-1da6-4c93-b286-4b6042e39d6d,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
15efa40c-5d9d-46b2-905c-e1c2550adc61,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
ff0e9329-8687-4465-8cba-e0b409c67ed2,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
990de1c7-054e-4dd5-b62c-3baf2a42f122,Software / Technical Failures,Slot availability crash,NLU (Understanding) Failures,Complex phrasing ignored,Critical blocker
222ae211-7e5a-4700-bf83-f0cc59419633,Software / Technical Failures,Slot availability crash,NLU (Understanding) Failures,Complex phrasing ignored,Critical blocker
b6c41f67-d018-4067-81c3-1c9735774b82,Conversation-Level Red Flags,User repeats themselves multiple times,Software / Technical Failures,Error handoff,Unwanted Friction
c55f57d1-3629-4b35-993e-b075dbeb5af0,Software / Technical Failures,Error handoff,null,null,Minor 
d2af1292-b867-41fa-8160-04aa9665ac91,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
90403741-2057-47ca-9f62-137f77b9a961,Conversation-Level Red Flags,Escalation after success,null,null,Minor 
d5369709-6b50-4326-bb28-ccf195a5a50b,Software / Technical Failures,Slot availability crash,NLU (Understanding) Failures,Repeated clarification prompts,Critical blocker
16d62ebd-f64e-4a75-9756-0635131c911e,Software / Technical Failures,Slot availability crash,NLU (Understanding) Failures,Repeated clarification prompts,Critical blocker
66893e9e-b7cf-45c6-a0f2-ba6cb0e14941,UX / Flow Failures,Politeness / tone mismatch,Conversation-Level Red Flags,Conversation ends without resolution,Critical blocker
171f24c8-16bc-49b8-9e3f-b7b2553cdfe8,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
b85f194e-d1ae-4c9a-8739-ccd40097b5c1,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
c9a9bff7-ea78-4c59-beaf-9ca1b29b43fe,Conversation-Level Red Flags,Escalation after success,null,null,Unwanted Friction
7a00113e-9d4c-4ae5-8e23-56c2dfc0763d,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
1ad2c2e1-051f-40ad-b459-9f2881d2ef93,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
fd5e6251-ace0-42cc-ad87-fb5de121cd09,Coverage Gaps,Multi-intent failure,NLU (Understanding) Failures,Complex phrasing ignored,Unwanted Friction
9049ebc2-69f2-4dcb-8e06-8b19a3095ab0,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
66dde471-6d36-4b80-9d5e-ba7c7b371085,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
a22e912e-66c3-4c92-8a0c-d0950cad15cd,Conversation-Level Red Flags,User repeats themselves multiple times,NLU (Understanding) Failures,Menu loops,Unwanted Friction
56887549-0218-4703-80ca-fbe02e239f5d,NLU (Understanding) Failures,Slot availability crash,Conversation-Level Red Flags,Conversation ends without resolution,Critical blocker
cce8224e-fc38-40fb-84d1-a62dae05adbe,Software / Technical Failures,Slot availability crash,Conversation-Level Red Flags,Escalation after success,Critical blocker
4935f329-872f-4528-987e-096eaba84bf6,NLU (Understanding) Failures,Repeated clarification prompts,UX / Flow Failures,Abrupt escalation,Unwanted Friction
0af77745-ccb6-483e-b395-168ecf1c56a2,NLU (Understanding) Failures,Repeated clarification prompts,Software / Technical Failures,Slot availability crash,Unwanted Friction
26ada50e-c825-401c-a524-cc7050b49405,NLU (Understanding) Failures,Repeated clarification prompts,NLU (Understanding) Failures,Complex phrasing ignored,Unwanted Friction
