Company number, Job Title, Industry, Main Company Interest, Country,Country Region,Channel Group (Inbound),Device Category, Num of Employees, Signup Timestamp Date, Conversion to Mql Timestamp Date, First Demo Date Date, Conversion to Paid Timestamp Date, Arr At Conversion
71,Manager,other,taskManagement,Egypt,ArabStates,cpc-google,PC,20,14/06/2024,,,,
72,CRO,realEstate,general,United States of America,NorthAmerica,cpc-google,PC,20,14/06/2024,17/06/2024,,,
73,bdhdbb,hospitality,formsAndChecklists,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
74,bdbsbb,hospitality,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
75,Reptile and Aquatics Manager,retail,general,United States of America,NorthAmerica,mobile,Mobile,20,14/06/2024,14/06/2024,,,
76,Owner,entertainment,scheduling,United States of America,NorthAmerica,cpc-google,PC,20,14/06/2024,14/06/2024,,,
77,General Manager,cleaning,timeTracking,United States of America,NorthAmerica,cpc-google_pmax,PC,20,14/06/2024,14/06/2024,,,
78,ADMIN SUPERVISOR,construction,general,United Kingdom,Europe,cpc-Bingpaid_brand,PC,20,14/06/2024,20/06/2024,19/06/2024,,
79,אחראי משמרת,manufacturing,general,Israel,Israel,mobile,Mobile,40,14/06/2024,,,,
80,Naptár,education,scheduling,Hungary,Europe,cpc-google,PC,150,14/06/2024,,,,
81,Director,retail,general,Canada,NorthAmerica,cpc-google,Mobile,40,14/06/2024,,,,
82,nndnne,retail,formsAndChecklists,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
83,bzbsb,hospitality,formsAndChecklists,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
84,bdhdbb,hospitality,formsAndChecklists,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
85,Safety Manager,manufacturing,schedule,United States of America,NorthAmerica,cpc-google,PC,350,14/06/2024,,,,
86,Owner/CEO,transportation,general,United States of America,NorthAmerica,mobile,Mobile,20,14/06/2024,18/06/2024,,,
87,First Mate,hospitality,scheduling,United States of America,NorthAmerica,cpc-google,Mobile,40,14/06/2024,16/06/2024,,23/07/2024,378.6
88,VP,construction,timeClock,United States of America,NorthAmerica,cpc-Bingpaid,PC,75,14/06/2024,14/06/2024,18/06/2024,18/06/2024,"2,755.20"
89,bdbsb,hospitality,schedule,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
90,bxbzbb,hospitality,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
91,bdbsb,hospitality,formsAndChecklists,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
92,Supervisor,foodBeverages,chatAndUpdates,United Kingdom,Europe,mobile,Mobile,20,14/06/2024,,,,
93,ASISTENTE,construction,checklists,Peru,SouthAmerica,cpc-google,PC,20,14/06/2024,,,,
94,President,construction,general,United States of America,NorthAmerica,mobile,Mobile,40,14/06/2024,14/06/2024,,04/07/2024,348
95,Hr manager,other,general,India,APAC,mobile,Mobile,20,14/06/2024,,,,
96,Consultant,security,scheduling,Italy,Europe,cpc-google,PC,75,14/06/2024,,,,
97,hsh,hospitality,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
98,sbb,hospitality,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
99,SL,events,general,United States of America,NorthAmerica,mobile,Mobile,20,14/06/2024,,,,
100,Lead builder gav a1 a2 l2 fork op,events,general,United States of America,NorthAmerica,email,Mobile,20,14/06/2024,,,,
101,Director,retail,timeTracking,Singapore,APAC,cpc-Bingpaid,PC,75,14/06/2024,14/06/2024,,,
102,bsbsbb,hospitality,formsAndChecklists,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
103,Owner,healthcare,chatAndUpdates,Canada,NorthAmerica,mobile,Mobile,40,14/06/2024,,,,
104,Director,construction,timeTracking,United Kingdom,Europe,cpc-google,Mobile,75,14/06/2024,,,,
105,Manager,foodBeverages,scheduling,United States of America,NorthAmerica,cpc-Bingpaid,PC,40,14/06/2024,14/06/2024,,,
106,Entertainment,other,scheduling,Saudi Arabia,ArabStates,cpc-google,PC,20,14/06/2024,,,,
107,vbb,hospitality,formsAndChecklists,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
108,hxhxbb,retail,formsAndChecklists,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
109,General manager and oberations coordinator,foodBeverages,general,United States of America,NorthAmerica,mobile,Mobile,350,14/06/2024,,,,
110,COO,staffing,general,United States of America,NorthAmerica,cpc-google,PC,150,14/06/2024,,17/06/2024,18/06/2024,"9,907.20"
111,bdbdb,hospitality,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
112,bsbb,hospitality,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
113,Coach,fitness,scheduling,United Kingdom,Europe,cpc-google,Mobile,40,14/06/2024,,,,
114,Manager,other,scheduling,United States of America,NorthAmerica,cpc-TikTok,Mobile,20,14/06/2024,,,,
115,PDG,cleaning,general,United States of America,NorthAmerica,cpc-google,PC,20,14/06/2024,15/06/2024,,,
116,IT Director,healthcare,general,United States of America,NorthAmerica,cpc-google,PC,20,14/06/2024,14/06/2024,,,
117,bdzbb,foodBeverages,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
118,admin,construction,timeTracking,Singapore,APAC,cpc-google,PC,40,14/06/2024,14/06/2024,,,
119,bBabb,cleaning,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
120,db,retail,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
121,Sales Co-Ordinator,realEstate,checklists,New Zealand,APAC,cpc-google,PC,20,14/06/2024,,,,
122,CEO,manufacturing,taskManagement,Canada,NorthAmerica,cpc-google,PC,40,14/06/2024,,,,
123,Office Manager,other,timeTracking,United States of America,NorthAmerica,cpc-google_pmax,PC,20,14/06/2024,,,,
124,Trial,retail,general,India,APAC,organic,PC,40,14/06/2024,14/06/2024,,,
125,Manager,foodBeverages,taskManagement,Malta,Europe,cpc-google,Mobile,20,14/06/2024,,,,
126,HR Assistant,construction,timeTracking,Philippines,APAC,organic,PC,40,14/06/2024,,,,
127,Owner,cleaning,scheduling,United States of America,NorthAmerica,cpc-google_pmax,PC,20,14/06/2024,14/06/2024,,28/06/2024,420
128,Chicken Inspector,manufacturing,timeTracking,United States of America,NorthAmerica,cpc-TechnologyAdvice,Mobile,"3,000",14/06/2024,,,,
129,Executive Director,npo,general,United States of America,NorthAmerica,organic,PC,20,14/06/2024,,,,
130,dj,retail,timeClock,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
131,nsjsn,hospitality,formsAndChecklists,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
132,nxbsbb,hospitality,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
133,bxbsb,hospitality,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
134,Owner,construction,timeClock,United Kingdom,Europe,mobile,Mobile,20,14/06/2024,14/06/2024,,,
135,bsbsbsb,hospitality,formsAndChecklists,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
136,Solutions Administrator,other,taskManagement,South Africa,Africa,cpc-google,PC,40,14/06/2024,,,,
137,General Manager,manufacturing,taskManagement,United States of America,NorthAmerica,cpc-google,PC,20,14/06/2024,14/06/2024,,,
138,Safety,security,scheduling,United States of America,NorthAmerica,cpc-google,PC,40,14/06/2024,14/06/2024,,,
139,Owner,foodBeverages,general,United States of America,NorthAmerica,cpc-google,Mobile,40,14/06/2024,14/06/2024,14/06/2024,14/06/2024,"3,708"
140,bbbxbzb,hospitality,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
141,hr,healthcare,scheduling,United Arab Emirates,ArabStates,cpc-google,PC,20,14/06/2024,,,,
142,ADON,healthcare,scheduling,United States of America,NorthAmerica,cpc-Bingpaid,PC,20,14/06/2024,,,,
143,nxbsbsb,hospitality,formsAndChecklists,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
144,sn,hospitality,timeClock,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
145,bdbsb,hospitality,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
146,Admin,education,schedule,United States of America,NorthAmerica,organic,PC,20,14/06/2024,18/06/2024,,08/07/2024,348
147,bBabb,hospitality,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
148,HS,realEstate,timeTracking,United Kingdom,Europe,cpc-google_pmax,PC,150,14/06/2024,,,,
149,Owner,construction,general,United States of America,NorthAmerica,mobile,Mobile,20,14/06/2024,14/06/2024,,,
150,Project Coordinator,other,scheduling,Australia,APAC,cpc-google,PC,75,14/06/2024,14/06/2024,,,
151,ndnsb,construction,formsAndChecklists,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
152,bxbxb,construction,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
153,CCVD,events,checklists,Panama,NorthAmerica,cpc-google,PC,150,14/06/2024,,,,
154,Special Projects Manager,events,general,United States of America,NorthAmerica,direct,PC,40,14/06/2024,14/06/2024,,,
155,assistant manager,hospitality,scheduling,United States of America,NorthAmerica,organic,PC,40,14/06/2024,,,,
156,FNS Supervisor,hospitality,schedule,United States of America,NorthAmerica,mobile,Mobile,75,14/06/2024,14/06/2024,,,
157,Civil Engineer,manufacturing,taskManagement,United Arab Emirates,ArabStates,insite,PC,75,14/06/2024,,,,
158,Manager,retail,checklists,United States of America,NorthAmerica,cpc-google,PC,20,14/06/2024,,,,
159,Owner,retail,general,United States of America,NorthAmerica,partnerships-marketingpartners,PC,20,14/06/2024,14/06/2024,,28/06/2024,"1,176"
160,hsh,construction,schedule,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
161,dj,retail,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
162,Admin,fitness,scheduling,Switzerland,Europe,cpc-google,PC,20,14/06/2024,,,,
163,General Manager,construction,timeClock,United States of America,NorthAmerica,influencers,PC,20,14/06/2024,14/06/2024,,03/07/2024,696
164,sb,healthcare,formsAndChecklists,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
165,Warthog,other,general,United States of America,NorthAmerica,cpc-google,PC,40,14/06/2024,15/06/2024,,28/06/2024,967.2
166,frreer,security,schedule,Viet Nam,APAC,partnerships-partnerstack,PC,20,14/06/2024,,,,
167,Project Manager,hospitality,timeTracking,Germany,Europe,cpc-google,PC,20,14/06/2024,,,,
168,Dispatcher,fieldServices,timeTracking,United States of America,NorthAmerica,cpc-Bingpaid,PC,150,14/06/2024,,,,
169,bdbshsbb,hospitality,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
170,ndbsb,hospitality,formsAndChecklists,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
171,bdbsbb,hospitality,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
172,Manager,foodBeverages,scheduling,Germany,Europe,cpc-pmp,PC,20,14/06/2024,,,,
173,Project Author,manufacturing,checklists,United States of America,NorthAmerica,cpc-google,PC,"3,000",14/06/2024,,,,
174,Chilren's Volunteer,religious,scheduling,United States of America,NorthAmerica,cpc-google,PC,20,14/06/2024,20/06/2024,,,
175,nxnsnsnn,construction,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
176,Manager,construction,timeClock,United States of America,NorthAmerica,mobile,Mobile,20,14/06/2024,,,08/07/2024,708
177,Supervisor,construction,timeTracking,Ireland,Europe,cpc-google_pmax,PC,20,14/06/2024,15/06/2024,,,
178,Clerk,governmental,scheduling,United States of America,NorthAmerica,cpc-google,PC,20,14/06/2024,,,,
179,Project Admin,construction,scheduling,United States of America,NorthAmerica,cpc-google_pmax,PC,75,14/06/2024,,,,
180,Offshore Production Technician,other,general,Trinidad and Tobago,NorthAmerica,mobile,Mobile,350,14/06/2024,,,,
181,Property Management,realEstate,general,United States of America,NorthAmerica,cpc-google,PC,20,14/06/2024,,,,
182,Lead Supervisor,manufacturing,general,United States of America,NorthAmerica,mobile,Mobile,20,14/06/2024,,,,
183,Production Manager,construction,chatAndUpdates,United States of America,NorthAmerica,mobile,Mobile,40,14/06/2024,,,,
184,Ok,healthcare,timeClock,Ethiopia,Africa,mobile,Mobile,"3,000",14/06/2024,,,,
185,Ownet,entertainment,general,United States of America,NorthAmerica,mobile,Mobile,20,14/06/2024,16/06/2024,,28/06/2024,348
186,h,hospitality,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
187,Carpenter,construction,recognitionsAndRewards,United Kingdom,Europe,mobile,Mobile,"3,000",14/06/2024,,,,
188,President,education,timeTracking,United States of America,NorthAmerica,cpc-google_pmax,PC,20,14/06/2024,14/06/2024,,,
189,Owner,foodBeverages,checklists,United States of America,NorthAmerica,organic,PC,20,14/06/2024,20/06/2024,,,
190,Lifeguards,hospitality,scheduling,United States of America,NorthAmerica,cpc-google,PC,20,14/06/2024,,,,
191,Operational manager,fitness,taskManagement,Romania,Europe,cpc-google,PC,20,14/06/2024,,,,
192,Perfusionist,healthcare,scheduling,United States of America,NorthAmerica,cpc-google,Mobile,20,14/06/2024,,,,
193,Operations Manager ANZ,foodBeverages,general,Australia,APAC,cpc-google,PC,750,14/06/2024,14/06/2024,,,
194,Administrator,healthcare,scheduling,United States of America,NorthAmerica,cpc-google_pmax,PC,40,14/06/2024,14/06/2024,17/06/2024,,
195,VP and Sports Manager,other,general,United States of America,NorthAmerica,cpc-google,PC,40,14/06/2024,14/06/2024,17/06/2024,25/06/2024,"2,556"
196,ndnsbsbb,retail,schedule,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
197,bdbsb,hospitality,schedule,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
198,Senior manager,manufacturing,general,India,APAC,mobile,Mobile,75,14/06/2024,,,,
199,dhdn bs b,hospitality,formsAndChecklists,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
200,Manager,foodBeverages,schedule,Ireland,Europe,mobile,Mobile,40,14/06/2024,,,,
201,h,hospitality,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
202,Residential Director,healthcare,general,United States of America,NorthAmerica,cpc-Bingpaid_brand,PC,75,14/06/2024,14/06/2024,,,
203,bxbzb,hospitality,formsAndChecklists,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
204,bdbsbb,hospitality,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
205,Behavioral therapist,healthcare,chatAndUpdates,United States of America,NorthAmerica,mobile,Mobile,20,14/06/2024,14/06/2024,,,
206,h,hospitality,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
207,bxbb,construction,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
208,bdbdb,hospitality,formsAndChecklists,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
209,Operation Assistant,logistics,"timeClock,schedule",United States of America,NorthAmerica,cpc-google_brand,PC,75,14/06/2024,,,,
210,Supervisor,foodBeverages,schedule,United States of America,NorthAmerica,mobile,Mobile,20,14/06/2024,,,,
211,OPERATIONS MANAGER,security,general,Singapore,APAC,cpc-google,Mobile,75,14/06/2024,,,,
212,Field Office Support Specialist,other,general,United States of America,NorthAmerica,organic,PC,75,14/06/2024,14/06/2024,14/06/2024,30/07/2024,"11,124"
213,Tech Support Analyst,staffing,scheduling,Canada,NorthAmerica,cpc-google,PC,75,14/06/2024,,,,
214,Owner,staffing,timeTracking,United States of America,NorthAmerica,cpc-google,PC,75,14/06/2024,14/06/2024,,14/06/2024,708
215,db,construction,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
216,bxbsb,retail,formsAndChecklists,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
217,Supervisor,other,scheduling,Canada,NorthAmerica,cpc-Bingpaid,PC,20,14/06/2024,,,,
218,Stock manager,foodBeverages,schedule,United Kingdom,Europe,mobile,Mobile,20,14/06/2024,,,,
219,vbchvb,hospitality,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
220,bxhxbsb,hospitality,formsAndChecklists,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
221,Owner,foodBeverages,general,United States of America,NorthAmerica,cpc-google,PC,40,14/06/2024,14/06/2024,,17/08/2024,477.6
222,bb,hospitality,formsAndChecklists,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
223,CEO,foodBeverages,scheduling,France,Europe,cpc-google,PC,20,14/06/2024,,,,
224,HR,hospitality,scheduling,Canada,NorthAmerica,uncategorized,PC,20,14/06/2024,,,,
225,Operation manager,logistics,schedule,Belgium,Europe,cpc-google_brand,PC,20,14/06/2024,,,,
226,zb,hospitality,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
227,TEST2,foodBeverages,scheduling,United States of America,NorthAmerica,cpc-google,PC,75,14/06/2024,,,,
228,Medic,healthcare,checklists,South Africa,Africa,cpc-google,PC,20,14/06/2024,14/06/2024,,,
229,01:01,healthcare,general,Canada,NorthAmerica,email,Mobile,40,14/06/2024,,,,
230,bdbdbdbb,hospitality,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
231,bdbsbb,hospitality,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
232,Restaurant,hospitality,scheduling,Australia,APAC,cpc-google,PC,20,14/06/2024,,,,
233,Support Worker,healthcare,scheduling,United Kingdom,Europe,cpc-google_pmax,Mobile,20,14/06/2024,,,,
234,CEO,cleaning,general,Spain,Europe,mobile,Mobile,20,14/06/2024,,,,
235,Administrator,entertainment,schedule,Italy,Europe,direct,PC,20,14/06/2024,,,,
236,DIRECTOR OPERACIONAL,healthcare,general,Puerto Rico,NorthAmerica,mobile,Mobile,20,14/06/2024,15/06/2024,,01/07/2024,420
237,consultant,staffing,scheduling,United States of America,NorthAmerica,cpc-pmp,PC,75,14/06/2024,,,,
238,bsbsbsb,hospitality,formsAndChecklists,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
239,bdbsbb,hospitality,formsAndChecklists,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
240,hsbsb,hospitality,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
241,OM,hospitality,checklists,Australia,APAC,cpc-google,PC,20,14/06/2024,,,,
242,Support Worker/Admin,healthcare,general,United Kingdom,Europe,cpc-pmp,PC,20,14/06/2024,14/06/2024,20/06/2024,21/06/2024,708
243,ku,hospitality,taskManagement,Afghanistan,ArabStates,mobile,Mobile,"3,000",14/06/2024,,,,
244,Assistant Director,entertainment,scheduling,United States of America,NorthAmerica,cpc-google,PC,20,14/06/2024,,,,
